,index,batsman,innings,runs,balls_faced,zeros,ones,twos,threes,fours,fives,sixes,dismissal_type,strike_batsman_x,offstrike_batsman,bowler,out,batting_pos,strike_batsman_y,batting_team,match_id
0,0,Rohan Mustafa,1,19,20,10,6,1,1,2,0,0,caught,Rohan Mustafa,Mohammad Shahzad (2),CB Sole,True,1,Rohan Mustafa,United Arab Emirates,997995
1,1,L Sreekumar,1,16,19,14,2,0,0,2,0,1,caught,L Sreekumar,Rohan Mustafa,SM Sharif,True,2,L Sreekumar,United Arab Emirates,997995
2,2,Mohammad Shahzad (2),1,21,32,23,5,0,0,4,0,0,caught,Mohammad Shahzad (2),Shaiman Anwar,SM Sharif,True,3,Mohammad Shahzad (2),United Arab Emirates,997995
3,3,Shaiman Anwar,1,63,77,39,28,4,1,3,0,2,caught,Shaiman Anwar,Rameez Shahzad,CB Sole,True,4,Shaiman Anwar,United Arab Emirates,997995
4,4,Muhammad Usman,1,43,48,20,21,4,0,2,0,1,caught,Muhammad Usman,Shaiman Anwar,AC Evans,True,5,Muhammad Usman,United Arab Emirates,997995
5,5,Rameez Shahzad,1,33,40,25,9,1,0,4,0,1,caught,Rameez Shahzad,Fayyaz Ahmed,SM Sharif,True,6,Rameez Shahzad,United Arab Emirates,997995
6,6,Amjad Javed,1,0,1,1,0,0,0,0,0,0,caught,Amjad Javed,Rameez Shahzad,CD de Lange,True,7,Amjad Javed,United Arab Emirates,997995
7,7,Saqlain Haider,1,12,20,12,6,1,0,1,0,0,lbw,Saqlain Haider,Rameez Shahzad,CD de Lange,True,8,Saqlain Haider,United Arab Emirates,997995
8,8,Fayyaz Ahmed,1,4,16,12,4,0,0,0,0,0,,,,,False,9,Fayyaz Ahmed,United Arab Emirates,997995
9,9,Mohammad Naveed,1,1,3,2,1,0,0,0,0,0,caught,Mohammad Naveed,Fayyaz Ahmed,CB Sole,True,10,Mohammad Naveed,United Arab Emirates,997995
10,10,Ahmed Raza,1,2,10,8,2,0,0,0,0,0,caught,Ahmed Raza,Fayyaz Ahmed,AC Evans,True,11,Ahmed Raza,United Arab Emirates,997995
11,11,KJ Coetzer,2,25,28,20,2,0,1,5,0,0,caught,KJ Coetzer,CS MacLeod,Mohammad Shahzad (2),True,1,KJ Coetzer,Scotland,997995
12,12,CD Wallace,2,6,7,4,2,0,0,1,0,0,caught,CD Wallace,KJ Coetzer,Mohammad Naveed,True,2,CD Wallace,Scotland,997995
13,13,CS MacLeod,2,103,122,62,42,8,1,6,0,3,bowled,CS MacLeod,PL Mommsen,Mohammad Naveed,True,3,CS MacLeod,Scotland,997995
14,14,PL Mommsen,2,80,116,61,41,8,1,5,0,0,,,,,False,4,PL Mommsen,Scotland,997995
15,15,RD Berrington,2,15,13,6,4,0,1,2,0,0,,,,,False,5,RD Berrington,Scotland,997995
16,0,KJ Coetzer,1,127,123,55,43,8,2,14,0,1,caught,KJ Coetzer,PL Mommsen,Mohammad Shahzad (2),True,1,KJ Coetzer,Scotland,997993
17,1,CD Wallace,1,16,16,8,4,2,0,2,0,0,caught,CD Wallace,KJ Coetzer,Ahmed Raza,True,2,CD Wallace,Scotland,997993
18,2,CS MacLeod,1,20,33,22,8,0,0,3,0,0,caught and bowled,CS MacLeod,KJ Coetzer,Ahmed Raza,True,3,CS MacLeod,Scotland,997993
19,3,PL Mommsen,1,111,102,36,40,16,1,9,0,0,,,,,False,4,PL Mommsen,Scotland,997993
20,4,MA Leask,1,10,8,4,2,1,0,0,0,1,caught,MA Leask,PL Mommsen,Mohammad Shahzad (2),True,5,MA Leask,Scotland,997993
21,5,RD Berrington,1,27,16,3,8,1,1,2,0,1,caught,RD Berrington,PL Mommsen,Mohammad Shahzad (2),True,6,RD Berrington,Scotland,997993
22,6,CD de Lange,1,7,6,1,3,2,0,0,0,0,,,,,False,7,CD de Lange,Scotland,997993
23,7,Rohan Mustafa,2,43,48,32,5,3,2,5,0,1,caught,Rohan Mustafa,Mohammad Shahzad (2),AC Evans,True,1,Rohan Mustafa,United Arab Emirates,997993
24,8,L Sreekumar,2,28,32,22,4,0,0,6,0,0,caught,L Sreekumar,Rohan Mustafa,AC Evans,True,2,L Sreekumar,United Arab Emirates,997993
25,9,Mohammad Shahzad (2),2,28,34,23,5,2,1,1,0,2,run out,Muhammad Usman,Mohammad Shahzad (2),,True,3,Mohammad Shahzad (2),United Arab Emirates,997993
26,10,Shaiman Anwar,2,9,12,9,1,1,0,0,0,1,caught,Shaiman Anwar,Mohammad Shahzad (2),CD de Lange,True,4,Shaiman Anwar,United Arab Emirates,997993
27,11,Muhammad Usman,2,34,49,28,14,5,0,1,0,1,caught,Muhammad Usman,Rameez Shahzad,SM Sharif,True,5,Muhammad Usman,United Arab Emirates,997993
28,12,Rameez Shahzad,2,15,30,17,11,2,0,0,0,0,caught,Rameez Shahzad,Krishna Chandran,CD de Lange,True,6,Rameez Shahzad,United Arab Emirates,997993
29,13,Mohammad Naveed,2,2,4,3,0,1,0,0,0,0,caught,Mohammad Naveed,Rameez Shahzad,SM Sharif,True,7,Mohammad Naveed,United Arab Emirates,997993
30,14,Krishna Chandran,2,15,27,16,9,1,0,1,0,0,caught,Krishna Chandran,Saqlain Haider,AC Evans,True,8,Krishna Chandran,United Arab Emirates,997993
31,15,Amjad Javed,2,32,20,10,4,1,0,2,0,3,caught,Amjad Javed,Krishna Chandran,AC Evans,True,9,Amjad Javed,United Arab Emirates,997993
32,16,Saqlain Haider,2,11,8,3,3,0,0,2,0,0,caught,Saqlain Haider,Ahmed Raza,MA Leask,True,10,Saqlain Haider,United Arab Emirates,997993
33,17,Ahmed Raza,2,1,2,1,1,0,0,0,0,0,,,,,False,11,Ahmed Raza,United Arab Emirates,997993
