,index,bowler,innings,runs,deliveries,wickets,bowled,lbw,caught,c_and_b,stumped,bowling_team,match_id
0,0,AC Evans,1,47,53,2.0,0.0,0.0,2.0,0.0,0.0,Scotland,997995
1,1,Ahmed Raza,2,46,60,0.0,0.0,0.0,0.0,0.0,0.0,United Arab Emirates,997995
2,2,Amjad Javed,2,23,30,0.0,0.0,0.0,0.0,0.0,0.0,United Arab Emirates,997995
3,3,CB Sole,1,47,64,3.0,0.0,0.0,3.0,0.0,0.0,Scotland,997995
4,4,CD de Lange,1,42,60,2.0,0.0,1.0,1.0,0.0,0.0,Scotland,997995
5,5,CS MacLeod,1,12,6,0.0,0.0,0.0,0.0,0.0,0.0,Scotland,997995
6,6,Fayyaz Ahmed,2,53,60,0.0,0.0,0.0,0.0,0.0,0.0,United Arab Emirates,997995
7,7,MA Leask,1,33,39,0.0,0.0,0.0,0.0,0.0,0.0,Scotland,997995
8,8,Mohammad Naveed,2,42,60,2.0,1.0,0.0,1.0,0.0,0.0,United Arab Emirates,997995
9,9,Mohammad Shahzad (2),2,45,54,1.0,0.0,0.0,1.0,0.0,0.0,United Arab Emirates,997995
10,10,RD Berrington,1,10,14,0.0,0.0,0.0,0.0,0.0,0.0,Scotland,997995
11,11,Rohan Mustafa,2,20,22,0.0,0.0,0.0,0.0,0.0,0.0,United Arab Emirates,997995
12,12,SM Sharif,1,23,50,3.0,0.0,0.0,3.0,0.0,0.0,Scotland,997995
13,0,AC Evans,2,40,49,4.0,0.0,0.0,4.0,0.0,0.0,Scotland,997993
14,1,Ahmed Raza,1,27,61,2.0,0.0,0.0,1.0,1.0,0.0,United Arab Emirates,997993
15,2,Amjad Javed,1,59,48,0.0,0.0,0.0,0.0,0.0,0.0,United Arab Emirates,997993
16,3,CD de Lange,2,35,60,2.0,0.0,0.0,2.0,0.0,0.0,Scotland,997993
17,4,CS MacLeod,2,6,14,0.0,0.0,0.0,0.0,0.0,0.0,Scotland,997993
18,5,JH Davey,2,48,49,0.0,0.0,0.0,0.0,0.0,0.0,Scotland,997993
19,6,Krishna Chandran,1,48,36,0.0,0.0,0.0,0.0,0.0,0.0,United Arab Emirates,997993
20,7,MA Leask,2,53,52,1.0,0.0,0.0,1.0,0.0,0.0,Scotland,997993
21,8,Mohammad Naveed,1,58,42,0.0,0.0,0.0,0.0,0.0,0.0,United Arab Emirates,997993
22,9,Mohammad Shahzad (2),1,60,43,3.0,0.0,0.0,3.0,0.0,0.0,United Arab Emirates,997993
23,10,Rameez Shahzad,1,14,14,0.0,0.0,0.0,0.0,0.0,0.0,United Arab Emirates,997993
24,11,Rohan Mustafa,1,52,60,0.0,0.0,0.0,0.0,0.0,0.0,United Arab Emirates,997993
25,12,SM Sharif,2,36,42,2.0,0.0,0.0,2.0,0.0,0.0,Scotland,997993
26,0,AR McBrine,2,46,61,0.0,0.0,0.0,0.0,0.0,0.0,Ireland,997967
27,1,BJ McCarthy,2,20,37,2.0,0.0,0.0,2.0,0.0,0.0,Ireland,997967
28,2,Dawlat Zadran,1,43,62,2.0,1.0,0.0,1.0,0.0,0.0,Afghanistan,997967
29,3,Gulbadin Naib,1,11,18,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,997967
