,match_id,home_team,away_team,gender,season,competition,match_number,venue,city,toss_winner,toss_decision,umpire,umpire_2,reserve_umpire,match_referee,winner,winner_wickets,start_date,end_date,winner_runs,series,player_of_match,tv_umpire,neutralvenue,outcome,method,player_of_match_2,reserve_umpire_2,eliminator,match_number_2
0,997995,Scotland,United Arab Emirates,male,2016,"ICC World Cricket League Championship, 2015-2016/17",28,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,United Arab Emirates,bat,DA Haggo,M Hawthorne,AJT Dowdalls,GF Labrooy,Scotland,7,2016/08/16,2016/08/16,,,,,,,,,,,
1,997993,Scotland,United Arab Emirates,male,2016,"ICC World Cricket League Championship, 2015-2016/17",26,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,United Arab Emirates,field,DA Haggo,M Hawthorne,AJT Dowdalls,GF Labrooy,Scotland,,2016/08/14,2016/08/14,98,,,,,,,,,,
2,997967,Ireland,Afghanistan,male,2016,,5,"Civil Service Cricket Club, Stormont",Belfast,Afghanistan,field,R Black,C Shamshuddin,AJ Neill,DT Jukes,Ireland,,2016/07/19,2016/07/19,12,Afghanistan in Ireland ODI Series,,,,,,,,,
3,997965,Ireland,Afghanistan,male,2016,,4,"Civil Service Cricket Club, Stormont",Belfast,Afghanistan,bat,AJ Neill,C Shamshuddin,R Black,DT Jukes,Afghanistan,,2016/07/17,2016/07/17,79,Afghanistan in Ireland ODI Series,,,,,,,,,
4,997961,Ireland,Afghanistan,male,2016,,2,"Civil Service Cricket Club, Stormont",Belfast,Ireland,field,AJ Neill,IN Ramage,R Black,DT Jukes,Afghanistan,,2016/07/12,2016/07/12,39,Afghanistan in Ireland ODI Series,,,,,,,,,
5,995465,Sri Lanka,Australia,male,2016,,5,Pallekele International Cricket Stadium,,Sri Lanka,bat,Aleem Dar,RSA Palliyaguruge,REJ Martinesz,J Srinath,Australia,5,2016/09/01,2016/09/01,,Australia in Sri Lanka ODI Series,DA Warner,MA Gough,,,,,,,
6,995463,Sri Lanka,Australia,male,2016,,4,Rangiri Dambulla International Stadium,,Sri Lanka,bat,MA Gough,RSA Palliyaguruge,REJ Martinesz,J Srinath,Australia,6,2016/08/31,2016/08/31,,Australia in Sri Lanka ODI Series,JW Hastings,Aleem Dar,,,,,,,
7,995461,Sri Lanka,Australia,male,2016,,3,Rangiri Dambulla International Stadium,,Sri Lanka,bat,Aleem Dar,REJ Martinesz,RR Wimalasiri,J Srinath,Australia,2,2016/08/28,2016/08/28,,Australia in Sri Lanka ODI Series,GJ Bailey,MA Gough,,,,,,,
8,995459,Sri Lanka,Australia,male,2016,,2,R Premadasa Stadium,Colombo,Sri Lanka,bat,MA Gough,RR Wimalasiri,REJ Martinesz,J Srinath,Sri Lanka,,2016/08/24,2016/08/24,82,Australia in Sri Lanka ODI Series,AD Mathews,Aleem Dar,,,,,,,
9,995457,Sri Lanka,Australia,male,2016,,1,R Premadasa Stadium,Colombo,Australia,field,Aleem Dar,REJ Martinesz,RR Wimalasiri,J Srinath,Australia,3,2016/08/21,2016/08/21,,Australia in Sri Lanka ODI Series,JP Faulkner,MA Gough,,,,,,,
10,953343,Afghanistan,Zimbabwe,male,2015/16,,5,Sharjah Cricket Stadium,,Zimbabwe,bat,AK Chaudhary,C Shamshuddin,Iftikhar Ali,DT Jukes,Afghanistan,2,2016/01/06,2016/01/06,,Afghanistan v Zimbabwe ODI Series,Gulbadin Naib,VA Kulkarni,true,,,,,,
11,953341,Afghanistan,Zimbabwe,male,2015/16,,4,Sharjah Cricket Stadium,,Zimbabwe,bat,VA Kulkarni,C Shamshuddin,Iftikhar Ali,DT Jukes,Zimbabwe,,2016/01/04,2016/01/04,65,Afghanistan v Zimbabwe ODI Series,CJ Chibhabha,AK Chaudhary,true,,,,,,
12,953339,Afghanistan,Zimbabwe,male,2015/16,,3,Sharjah Cricket Stadium,,Zimbabwe,bat,AK Chaudhary,VA Kulkarni,Iftikhar Ali,DT Jukes,Zimbabwe,,2016/01/02,2016/01/02,117,Afghanistan v Zimbabwe ODI Series,H Masakadza,C Shamshuddin,true,,,,,,
13,953337,Afghanistan,Zimbabwe,male,2015/16,,2,Sharjah Cricket Stadium,,Zimbabwe,bat,AK Chaudhary,C Shamshuddin,Iftikhar Ali,DT Jukes,Afghanistan,4,2015/12/29,2015/12/29,,Afghanistan v Zimbabwe ODI Series,Mohammad Shahzad,VA Kulkarni,true,,,,,,
14,953335,Afghanistan,Zimbabwe,male,2015/16,,1,Sharjah Cricket Stadium,,Afghanistan,bat,VA Kulkarni,C Shamshuddin,Iftikhar Ali,DT Jukes,Afghanistan,,2015/12/25,2015/12/25,49,Afghanistan v Zimbabwe ODI Series,Amir Hamza,AK Chaudhary,true,,,,,,
15,936167,South Africa,Sri Lanka,male,2016/17,,5,SuperSport Park,Centurion,Sri Lanka,field,S George,RA Kettleborough,AT Holdstock,RB Richardson,South Africa,,2017/02/10,2017/02/10,88,Sri Lanka in South Africa ODI Series,HM Amla,RK Illingworth,,,,,,,
16,936165,South Africa,Sri Lanka,male,2016/17,,4,Newlands,Cape Town,South Africa,bat,AT Holdstock,RK Illingworth,S George,RB Richardson,South Africa,,2017/02/07,2017/02/07,40,Sri Lanka in South Africa ODI Series,F du Plessis,RA Kettleborough,,,,,,,
17,936163,South Africa,Sri Lanka,male,2016/17,,3,New Wanderers Stadium,Johannesburg,South Africa,field,AT Holdstock,RA Kettleborough,S George,RB Richardson,South Africa,7,2017/02/04,2017/02/04,,Sri Lanka in South Africa ODI Series,D Pretorius,RK Illingworth,,,,,,,
18,936161,South Africa,Sri Lanka,male,2016/17,,2,Kingsmead,Durban,Sri Lanka,field,S George,RK Illingworth,AT Holdstock,RB Richardson,South Africa,,2017/02/01,2017/02/01,121,Sri Lanka in South Africa ODI Series,F du Plessis,RA Kettleborough,,,,,,,
19,936159,South Africa,Sri Lanka,male,2016/17,,1,St George's Park,Port Elizabeth,South Africa,field,BP Jele,RA Kettleborough,S George,RB Richardson,South Africa,8,2017/01/28,2017/01/28,,Sri Lanka in South Africa ODI Series,Imran Tahir,RK Illingworth,,,,,,,
20,936143,South Africa,Australia,male,2016/17,,5,Newlands,Cape Town,South Africa,bat,S George,JS Wilson,AT Holdstock,BC Broad,South Africa,,2016/10/12,2016/10/12,31,Australia in South Africa ODI Series,DA Warner,NJ Llong,,,,,,,
21,936141,South Africa,Australia,male,2016/17,,4,St George's Park,Port Elizabeth,Australia,bat,AT Holdstock,NJ Llong,S George,BC Broad,South Africa,6,2016/10/09,2016/10/09,,Australia in South Africa ODI Series,KJ Abbott,JS Wilson,,,,,,,
22,936139,South Africa,Australia,male,2016/17,,3,Kingsmead,Durban,Australia,bat,AT Holdstock,JS Wilson,S George,BC Broad,South Africa,4,2016/10/05,2016/10/05,,Australia in South Africa ODI Series,DA Miller,NJ Llong,,,,,,,
23,936137,South Africa,Australia,male,2016/17,,2,New Wanderers Stadium,Johannesburg,Australia,field,S George,NJ Llong,AT Holdstock,BC Broad,South Africa,,2016/10/02,2016/10/02,142,Australia in South Africa ODI Series,F du Plessis,JS Wilson,,,,,,,
24,936135,South Africa,Australia,male,2016/17,,1,SuperSport Park,Centurion,South Africa,field,BP Jele,JS Wilson,S George,BC Broad,South Africa,6,2016/09/30,2016/09/30,,Australia in South Africa ODI Series,Q de Kock,NJ Llong,,,,,,,
25,936133,Australia,Ireland,male,2016/17,,,Willowmoore Park,Benoni,Ireland,bat,BP Jele,NJ Llong,AT Holdstock,BC Broad,Australia,9,2016/09/27,2016/09/27,,,UT Khawaja,JS Wilson,true,,,,,,
26,936131,South Africa,Ireland,male,2016/17,,,Willowmoore Park,Benoni,Ireland,field,S George,JS Wilson,BP Jele,BC Broad,South Africa,,2016/09/25,2016/09/25,206,,T Bavuma,NJ Llong,,,,,,,
27,932867,West Indies,Australia,male,2016,,,"Kensington Oval, Bridgetown",Barbados,Australia,bat,RA Kettleborough,JS Wilson,GO Brathwaite,JJ Crowe,Australia,,2016/06/26,2016/06/26,58,West Indies Tri-Nation Series,MR Marsh,HDPK Dharmasena,,,,,,,
28,932865,West Indies,South Africa,male,2016,,9,"Kensington Oval, Bridgetown",Barbados,South Africa,field,GO Brathwaite,HDPK Dharmasena,JS Wilson,JJ Crowe,West Indies,,2016/06/24,2016/06/24,100,West Indies Tri-Nation Series,DM Bravo,RA Kettleborough,,,,,,,
29,932863,West Indies,Australia,male,2016,,8,"Kensington Oval, Bridgetown",Barbados,Australia,field,GO Brathwaite,RA Kettleborough,JS Wilson,JJ Crowe,Australia,6,2016/06/21,2016/06/21,,West Indies Tri-Nation Series,MN Samuels,HDPK Dharmasena,,,,,,,
30,932861,Australia,South Africa,male,2016,,7,"Kensington Oval, Bridgetown",Barbados,Australia,field,HDPK Dharmasena,JS Wilson,GO Brathwaite,JJ Crowe,,,2016/06/19,2016/06/19,,West Indies Tri-Nation Series,,RA Kettleborough,true,no result,,,,,
31,932859,West Indies,South Africa,male,2016,,6,"Warner Park, Basseterre",St Kitts,West Indies,field,GO Brathwaite,NJ Llong,JS Wilson,JJ Crowe,South Africa,,2016/06/15,2016/06/15,139,West Indies Tri-Nation Series,Imran Tahir,RK Illingworth,,,,,,,
32,932857,West Indies,Australia,male,2016,,5,"Warner Park, Basseterre",St Kitts,West Indies,field,GO Brathwaite,RK Illingworth,JS Wilson,JJ Crowe,West Indies,4,2016/06/13,2016/06/13,,West Indies Tri-Nation Series,MN Samuels,NJ Llong,,,,,,,
33,932855,Australia,South Africa,male,2016,,4,"Warner Park, Basseterre",St Kitts,Australia,bat,NJ Llong,JS Wilson,GO Brathwaite,JJ Crowe,Australia,,2016/06/11,2016/06/11,36,West Indies Tri-Nation Series,DA Warner,RK Illingworth,true,,,,,,
